p,ARI_mean,ARI_std,Precision_mean,Precision_std,Recall_mean,Recall_std
1,0.2256093020027414,0.014205285896018374,0.5106569343065696,0.027581584066848564,0.642189781021898,0.014487901919898495
2,0.1102661773196501,0.026154673262028375,0.46233576642335783,0.035896085543179294,0.5020437956204379,0.04866571760389958
3,0.05924989164763203,0.06901697723506676,0.3573722627737226,0.08072821106662251,0.8474452554744525,0.135375388522329
