distance_metric,ARI_mean,ARI_std,Precision_mean,Precision_std,Recall_mean,Recall_std
euclidean,0.2465542406774013,0.0465615719790688,0.524054054054054,0.0288177061876834,0.4932432432432433,0.0370625199783271
dtw,0.2259523048610635,0.0302413510816048,0.5151351351351352,0.0352845057737677,0.4678378378378378,0.0396561186058093
l1,0.24741253898948,0.0381378271797522,0.5205405405405406,0.0481688047107334,0.4956756756756757,0.0358391015227044
cosine,0.2658312438699078,0.0315602032419611,0.5313513513513515,0.0274347622496205,0.5010810810810812,0.0357574819644134
